terminal,number_docks,map_label,location,latitude,longitude,zip,city,neighborhood,cped_sector,council_ward,loc_just,coordinates
30114,11,3rd Ave S & E 38th Street,317 E 38th St,44.9338787,-93.2726088,55409,Minneapolis,Central,Minn-South,8,Equity,"(44.933878700000001, -93.2726088)"
30115,27,Washington Ave SE & Union Street SE,110 Union St SE,44.97394,-93.2321,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.973939999999999, -93.232100000000003)"
30142,25,9th Street N & Hawthorne Ave,900 Hawthorne Avenue,44.977128,-93.277505,55403,Minneapolis,Downtown West,Minn-South,7,Minneapolis,"(44.977128, -93.277505000000005)"
30143,19,Chicago Ave & Washington Ave S,201 Chicago Avenue South,44.977521,-93.256736,55415,Minneapolis,Downtown East,Minn-Downtown,7,Minneapolis,"(44.977521000000003, -93.256736000000004)"
30144,15,N 4th Ave & W River Parkway,10 North 4th Avenue,44.988461,-93.269087,55401,Minneapolis,North Loop,Minn-Downtown,7,Attraction,"(44.988461000000001, -93.269086999999999)"
30145,15,Minneapolis Park & Recreation Board,2117 West River Road North,45.00095,-93.277037,55411,Minneapolis,Hawthorne,Minn-North,3,Minneapolis,"(45.000950000000003, -93.277036999999993)"
30146,15,North Mississippi Regional Park,4900 N Mississippi Dr,45.042435,-93.283734,55430,Minneapolis,Webber-Camden,Minn-North,4,Attraction,"(45.042434999999998, -93.283733999999995)"
30147,15,Lake Street & West River Parkway,4722 E Lake Street,44.948452,-93.206201,55406,Minneapolis,Cooper,Minn-South,2,Attraction,"(44.948452000000003, -93.206201000000007)"
30148,15,46th Street Light Rail Station,4522 Hiawatha Ave,44.920466,-93.21953,55406,Minneapolis,Ericsson,Minn-South,12,Minneapolis,"(44.920465999999998, -93.219530000000006)"
30149,27,Minnehaha Park,4802 Minnehaha Ave,44.916906,-93.213587,55417,Minneapolis,Hiawatha,Minn-South,12,Attraction,"(44.916905999999997, -93.213587000000004)"
30151,15,Boom Island Park,724 Sibley St. NE,44.99254,-93.270256,55413,Minneapolis,St. Anthony West,Minn-East,3,Attraction,"(44.992540000000005, -93.270256000000003)"
30152,15,Broadway & Marshall Street NE,81 Broadway Street Northeast,44.998613,-93.268633,55413,Minneapolis,St. Anthony West,Minn-East,3,Minneapolis,"(44.998612999999999, -93.268632999999994)"
30153,15,Coldwater Spring,5407 Minnehaha Park Drive South,44.905043,-93.198283,55417,Minneapolis,Minnehaha,Minn-South,12,Attraction,"(44.905042999999999, -93.198282999999989)"
30154,23,11th Ave S & S 2nd Street,11th Ave S & S 2nd Street,44.97673,-93.252189,55415,Minneapolis,Downtown East,Minn-Downtown,7,Minneapolis,"(44.976729999999996, -93.252189000000001)"
30156,23,Lake Nokomis,2025 East Minnehaha Parkway,44.915957,-93.242761,55417,Minneapolis,Keewaydin,Minn-South,12,Attraction,"(44.915956999999999, -93.242761000000002)"
30157,25,Lake Harriet Bandshell,4692 East Lake Harriet Boulevard,44.92936,-93.30713,55419,Minneapolis,East Harriet,Minn-Southwest,13,Attraction,"(44.929359999999996, -93.307130000000001)"
30158,33,Lake Street & Knox Ave S,1873 W Lake Street,44.9485,-93.305209,55408,Minneapolis,Cedar-Isles-Dean,Minn-Southwest,10,Attraction,"(44.948500000000003, -93.305208999999991)"
