STATION_NAME,DATE,PRECIP,TEMP_AVG,TEMP_MAX,TEMP_MIN,AVG_WIND,WDF2 (Direction of fastest 2 min wind - degrees),WDF5 (Direction of fastest 5 second wind - degrees),WSF2 (Fastest 2 min wind speed),WSF5 (Fastests 5 second wind speed),FOG,HAIL,HEAVY FOG,ICE,SMOKE/HAZE,THUNDER
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160703,0,72,80,62,6.7,120,130,17,21.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160704,0,72,80,61,8.1,180,180,16.1,21.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160705,1.21,77,90,66,10.5,50,320,38.9,49,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160706,0,74,88,66,5.6,340,360,13,21.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160707,0.07,77,85,69,7.6,120,120,29.1,32,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160708,0,72,80,66,12.8,310,310,29.1,36.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160709,0,73,82,63,6.7,140,130,14.1,17,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160710,0.4,74,82,66,9.2,270,270,25.1,35.1,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160711,0,78,90,72,14.3,180,180,25.9,36.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160712,0.08,80,86,71,13,240,260,25.9,35.1,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160713,0,79,85,70,14.8,290,270,25.9,36,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160714,0.12,70,71,62,13.2,280,290,23,28,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160715,0.05,67,79,61,5.1,330,360,14.1,19.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160716,0.2,71,81,62,8.3,140,140,31.1,38,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160717,0.1,74,84,66,12.8,170,170,35.1,44.1,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160718,0,76,88,67,3.8,240,310,13,17,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160719,0,78,87,68,9.2,130,120,21.9,27.1,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160720,0.05,80,93,72,11.6,160,170,21,25.1,1,0,0,0,0,1
